Level_[m],Interval,Group,Genus,Subgenus,Qualifier_species,Species,Motility,Motility_2,Feeding,Feeding_2,Tiering
0.40,a,1,Gibbirhynchia,,,cantabrica,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,cantabrica,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,cantabrica,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
0.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
0.40,a,2,Entolium,,,corneolum,5,2,1,1,1
0.40,a,2,Gryphaea,Catinula,cf.,crickleyensis,3,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.40,a,2,Lycettia,,,lunularis,2,1,1,1,1
0.40,a,2,Lycettia,,,lunularis,2,1,1,1,1
0.40,a,2,Lycettia,,,lunularis,2,1,1,1,1
0.40,a,2,Lycettia,,,lunularis,2,1,1,1,1
0.40,a,2,Lycettia,,,lunularis,2,1,1,1,1
0.40,a,2,Lycettia,,,lunularis,2,1,1,1,1
0.40,a,2,Lycettia,,,lunularis,2,1,1,1,1
0.40,a,2,Lycettia,,,lunularis,2,1,1,1,1
0.40,a,2,Lycettia,,,lunularis,2,1,1,1,1
0.40,a,2,Lycettia,,,lunularis,2,1,1,1,1
0.40,a,2,Plagiostoma,,,punctatum,2,1,1,1,1
0.40,a,2,Plagiostoma,,,punctatum,2,1,1,1,1
0.40,a,2,Plagiostoma,,,punctatum,2,1,1,1,1
0.40,a,2,Plagiostoma,,,punctatum,2,1,1,1,1
0.40,a,2,Plagiostoma,,,punctatum,2,1,1,1,1
0.40,a,2,Plagiostoma,,,punctatum,2,1,1,1,1
0.40,a,2,Plagiostoma,,,punctatum,2,1,1,1,1
0.40,a,2,Plagiostoma,,,punctatum,2,1,1,1,1
0.40,a,2,Plagiostoma,,,punctatum,2,1,1,1,1
0.40,a,2,Pseudopecten,Pseudopecten,,dentatus,5,2,1,1,1
0.40,a,2,Pseudopecten,Pseudopecten,,dentatus,5,2,1,1,1
0.40,a,2,Pseudopecten,Pseudopecten,,dentatus,5,2,1,1,1
0.40,a,3,Katosira,,,sp. A,7,2,4,2,1
0.40,a,3,Lamelliphorus,,,heliacus,7,2,4,2,1
0.40,a,3,Pseudomelania,,,sp.,7,2,4,2,1
0.40,a,3,Pseudomelania,,,sp.,7,2,4,2,1
0.80,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
0.80,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
0.80,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
0.80,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
0.80,a,2,Gryphaea,Catinula,cf.,crickleyensis,3,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
0.80,a,2,Harpax,,,spinosa,3,1,1,1,1
0.80,a,2,Harpax,,,spinosa,3,1,1,1,1
0.80,a,2,Lycettia,,,lunularis,2,1,1,1,1
0.80,a,2,Lycettia,,,lunularis,2,1,1,1,1
0.80,a,2,Lycettia,,,lunularis,2,1,1,1,1
0.80,a,2,Lycettia,,,lunularis,2,1,1,1,1
0.80,a,2,Plagiostoma,,,punctatum,2,1,1,1,1
0.80,a,2,Plagiostoma,,,punctatum,2,1,1,1,1
0.80,a,2,Pseudolimea,,,duplicata,2,1,1,1,1
0.80,a,2,Pseudolimea,,,duplicata,2,1,1,1,1
0.80,a,2,Pseudolimea,,cf.,roemeri,2,1,1,1,1
0.80,a,2,Pseudopecten,Pseudopecten,,dentatus,5,2,1,1,1
0.80,a,2,Pseudopecten,Pseudopecten,,dentatus,5,2,1,1,1
0.80,a,2,Pseudopecten,Pseudopecten,,dentatus,5,2,1,1,1
0.80,a,2,Pseudopecten,Pseudopecten,,dentatus,5,2,1,1,1
0.80,a,2,Pseudopecten,Pseudopecten,,dentatus,5,2,1,1,1
0.80,a,2,Pseudopecten,Pseudopecten,,dentatus,5,2,1,1,1
0.80,a,2,Pseudopecten,Pseudopecten,,dentatus,5,2,1,1,1
0.80,a,2,Pseudopecten,Pseudopecten,,dentatus,5,2,1,1,1
0.80,a,3,Neritopsis,,,sp.,7,2,4,2,1
0.80,a,3,Pseudomelania,,,sp.,7,2,4,2,1
1.60,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
1.60,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
1.60,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
1.60,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
1.60,a,2,Entolium,,,corneolum,5,2,1,1,1
1.60,a,2,Entolium,,,corneolum,5,2,1,1,1
1.60,a,2,Entolium,,,corneolum,5,2,1,1,1
1.60,a,2,Entolium,,,corneolum,5,2,1,1,1
1.60,a,2,Entolium,,,corneolum,5,2,1,1,1
1.60,a,2,Entolium,,,corneolum,5,2,1,1,1
1.60,a,2,Entolium,,,corneolum,5,2,1,1,1
1.60,a,2,Entolium,,,corneolum,5,2,1,1,1
1.60,a,2,Entolium,,,corneolum,5,2,1,1,1
1.60,a,2,Entolium,,,corneolum,5,2,1,1,1
1.60,a,2,Entolium,,,corneolum,5,2,1,1,1
1.60,a,2,Entolium,,,corneolum,5,2,1,1,1
1.60,a,2,Grammatodon,Grammatodon,,concinnus,6,2,1,1,1
1.60,a,2,Grammatodon,Grammatodon,,concinnus,6,2,1,1,1
1.60,a,2,Grammatodon,Grammatodon,,concinnus,6,2,1,1,1
1.60,a,2,Grammatodon,Grammatodon,,concinnus,6,2,1,1,1
1.60,a,2,Grammatodon,Grammatodon,,concinnus,6,2,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
1.60,a,2,Pseudolimea,,,duplicata,2,1,1,1,1
1.60,a,2,Pseudolimea,,,duplicata,2,1,1,1,1
1.60,a,2,Pseudopecten,Pseudopecten,,dentatus,5,2,1,1,1
1.60,a,3,Katosira,,,sp. A,7,2,4,2,1
1.60,a,3,Neritopsis,,,sp.,7,2,4,2,1
1.60,a,3,Pseudomelania,,,sp.,7,2,4,2,1
2.80,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
2.80,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
2.80,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
2.80,a,1,Gibbirhynchia,,,micra,1,1,1,1,1
2.80,a,1,Lobothyris,,,arcta,1,1,1,1,1
2.80,a,1,Lobothyris,,,arcta,1,1,1,1,1
2.80,a,1,Lobothyris,,,arcta,1,1,1,1,1
2.80,a,1,Lobothyris,,,arcta,1,1,1,1,1
2.80,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
2.80,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
2.80,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
2.80,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
2.80,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
2.80,a,1,Quadratirhynchia,,,attenuata,1,1,1,1,1
2.80,a,1,Quadratirhynchia,,,attenuata,1,1,1,1,1
2.80,a,1,Quadratirhynchia,,,attenuata,1,1,1,1,1
2.80,a,1,Quadratirhynchia,,,attenuata,1,1,1,1,1
2.80,a,1,Quadratirhynchia,,,attenuata,1,1,1,1,1
2.80,a,1,Quadratirhynchia,,,attenuata,1,1,1,1,1
2.80,a,1,Quadratirhynchia,,,attenuata,1,1,1,1,1
2.80,a,1,Quadratirhynchia,,,attenuata,1,1,1,1,1
2.80,a,1,Quadratirhynchia,,,attenuata,1,1,1,1,1
2.80,a,1,Quadratirhynchia,,,attenuata,1,1,1,1,1
2.80,a,1,Quadratirhynchia,,,attenuata,1,1,1,1,1
2.80,a,1,Quadratirhynchia,,,attenuata,1,1,1,1,1
2.80,a,1,Quadratirhynchia,,,attenuata,1,1,1,1,1
2.80,a,1,Quadratirhynchia,,,attenuata,1,1,1,1,1
2.80,a,1,Quadratirhynchia,,,attenuata,1,1,1,1,1
2.80,a,1,Quadratirhynchia,,,attenuata,1,1,1,1,1
2.80,a,1,Quadratirhynchia,,,attenuata,1,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Gryphaea,Bilobissa,,sublobata,4,1,1,1,1
2.80,a,2,Pseudopecten,Pseudopecten,,dentatus,5,2,1,1,1
2.80,a,2,Pseudopecten,Pseudopecten,,dentatus,5,2,1,1,1
2.80,a,2,Pseudopecten,Pseudopecten,,dentatus,5,2,1,1,1
2.80,a,2,Pseudopecten,Pseudopecten,,dentatus,5,2,1,1,1
2.80,a,2,Pseudopecten,Pseudopecten,,dentatus,5,2,1,1,1
2.80,a,2,Pseudopecten,Pseudopecten,,dentatus,5,2,1,1,1
2.80,a,2,Weyla,Weyla,,pradoana,4,1,1,1,1
2.80,a,2,Weyla,Weyla,,pradoana,4,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,1,Lobothyris,,,subpunctata,1,1,1,1,1
3.40,a,2,Entolium,,,corneolum,5,2,1,1,1
