Condition,Water
Sham,78
Sham,76.4
Sham,77.4
Sham,78
Sham,76.6
Sham,78
Sham,77.4
Sham,77.4
Sham,77.4
Sham,78.8
Sham,77.4
Sham,77.4
TBI0,81.4
TBI0,81.9
TBI0,84.2
TBI0,79.3
TBI0,82.4
TBI0,84.2
TBI0,85.8
TBI0,85
TBI0,84.2
TBI0,84.2
TBI0,80.6
TBI0,81.9
TBI1,79.9
TBI1,78.8
TBI1,78.8
TBI1,81.3
TBI1,80.3
TBI1,80.6
TBI1,80.6
TBI1,80.3
TBI1,81.9
TBI1,78.1
TBI1,77.5
TBI1,82.1
TBI2,76.9
TBI2,75.9
TBI2,78
TBI2,80.9
TBI2,81.9
TBI2,79.9
TBI2,76.6
TBI2,78
TBI2,80.9
TBI2,78.4
TBI2,78
TBI2,80.9
TBI3,76.9
TBI3,79.9
TBI3,75
TBI3,75.9
TBI3,78.8
TBI3,77.5
TBI3,81.9
TBI3,80
TBI3,75.5
TBI3,78.8
TBI3,78.8
TBI3,74.7
